grammar_name_en,grammar_name_jp,meaning,how_to_use_html,example_1,example_2,source
aete,敢えて（あえて）,"Learn Japanese grammar: 【あえて】(aete). Meaning: dare to; daringly; deliberately; purposely (something needless, unexpected or seemingly counterproductive); intentionally ~.","<table class=""table table-bordered table-sm usage""><tbody><tr><td>あえて</td><td>clause</td></tr></tbody></table>",Example #1彼はあえて一人で行く気ですか。hintromajiEnglishかれはあえてひとりでいくきですか。kare wa aete hitori de iku kidesu ka.Dare he go alone?,Example #2私はあえて彼女に忠告した。hintromajiEnglishわたしはあえてかのじょにちゅうこくした。watashi wa aete kanojo ni chuukoku shita.I ran a risk of advising her.,https://jlptsensei.com/learn-japanese-grammar/%e6%95%a2%e3%81%88%e3%81%a6-%e3%81%82%e3%81%88%e3%81%a6-aete-meaning/
akumade mo,あくまでも,Learn Japanese grammar: 【あくまでも】(akumade mo). Meaning: to the end; persistently; absolutely; is still very ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>あくまでも</td><td>clause</td></tr></tbody></table>",Example #1空はあくまでも青い。hintromajiEnglishそらはあくまでもあおい。sora wa akumade mo aoi.The sky is as blue as blue can be.,Example #2私はあくまでも彼女を見つけるつもりです。hintromajiEnglishわたしはあくまでもかのじょをみつけるつもりです。watashi wa akumademo kanojo o mitsukeru tsumori desu.I will definitely find her.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%8f%e3%81%be%e3%81%a7%e3%82%82-akumade-mo-meaning/
an no jou,案の定（あんのじょう）,Learn Japanese grammar: 【あんのじょう】(an no jou). Meaning: just as one thought; as usual; sure enough; as expected.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>案の定</td><td>phrase</td></tr></tbody></table>","Example #1案の定、結果がよくないだ。hintromajiEnglishあんのじょう、けっかがよくないだ。an no jou, kekka ga yokunai da.As might be expected, the results are poor.","Example #2案の定、彼は第一位になった。hintromajiEnglishあんのじょう、かれはだいいちいになった。an no jou, kare wa daiichii ni natta.As was to be expected, he took first place.",https://jlptsensei.com/learn-japanese-grammar/%e6%a1%88%e3%81%ae%e5%ae%9a-%e3%81%82%e3%82%93%e3%81%ae%e3%81%98%e3%82%87%e3%81%86-an-no-jou-meaning/
arakajime,あらかじめ,Learn Japanese grammar: (arakajime). Meaning: beforehand; in advance; previously​.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>あらかじめ</td><td>Verb</td></tr></tbody></table>",Example #1あらかじめ教科書を読んでください。hintromajiEnglishあらかじめきょうかしょをよんでください。arakajime kyoukasho o yonde kudasai.Please read the textbook in advance.,Example #2私たちはあらかじめスナックを用意しておきました。hintromajiEnglishわたしたちはあらかじめスナックをよういしておきました。watashi tachi wa arakajime sunakku o youi shite okimashita.We have prepared snacks in advance.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%82%89%e3%81%8b%e3%81%98%e3%82%81-arakajime-meaning/
atte no,あっての,Learn Japanese grammar: (atte no). Meaning: which owes everything to; which can exist solely due to the presence of; whose existence is determined entirely by​.​...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun-1</td><td>あっての</td><td>Noun-2</td></tr></tbody></table>",Example #1健康な体あっての人生です。hintromajiEnglishけんこうなからだあってのじんせいです。kenkou na karada atte no jinsei desu.Life is dependent on having a healthy body.,"Example #2お客様あっての仕事だから、言葉遣いに気を付けてください。hintromajiEnglishおきゃくさまあってのしごとだから、ことばづかいにきをつけてください。okyaku sama atte no shigoto dakara, kotobadzukai ni ki o tsukete kudasai.Please be careful of the language you use around our customers since they are essential for our business.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%a3%e3%81%a6%e3%81%ae-atte-no-meaning/
ba koso,ばこそ,Learn Japanese grammar: (ba koso). Meaning: only because ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (ば conditional)</td><td rowspan=""4"">こそ</td></tr><tr><td>Noun + であれば</td></tr><tr><td>な-adjective + であれば</td></tr><tr><td>い-adjective + <s>い</s>ければ</td></tr></tbody></table>",Example #1優勝できたのは、チーム全員の協力あればこそだ。hintromajiEnglishゆうしょうできたのは、チームぜんいんのきょうりょくあればこそだ。yuushou dekita nowa chiimu zenin no kyouryoku areba koso da.We could only win because of our teamwork.,"Example #2家族を愛すればこそ、自分が犠牲になることなどは恐れない。hintromajiEnglishかぞくをあいすればこそ、じぶんがぎせいになることなどはおそれない。kazoku o aisureba koso, jibun ga gisei ni naru koto nado wa osorenai.Because I love my family, I’m not afraid to sacrifice myself.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%93%e3%81%9d-ba-koso-meaning/
ba sore made da / tara sore made da,ばそれまでだ / たらそれまでだ,Learn Japanese grammar: (ba sore made da / tara sore made da). Meaning: if… then it’s over. This is used when you want to say...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (conditional) ば / たら</td><td>それまでだ</td></tr></tbody></table>","Example #1いくらお金をためでも、死んでしまえばそれまでだ。hintromajiEnglishいくらおかねをためでも、しんでしまえばそれまでだ。ikura okane o tame demo, shinde shimaeba sore made da.Even if you make a lot of money, it's pointless if you die.","Example #2どんなに大変でも諦めたらそれまでだ。hintromajiEnglishどんなにたいへんでもあきらめたらそれまでだ。donnani taihen demo akirametara sore made da.No matter how hard it may be, once you give up, it's all over.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%9d%e3%82%8c%e3%81%be%e3%81%a7%e3%81%a0-%e3%81%9f%e3%82%89%e3%81%9d%e3%82%8c%e3%81%be%e3%81%a7%e3%81%a0-ba-sore-made-da-meaning/
bekarazu / bekarazaru,べからず / べからざる,Learn Japanese grammar: (bekarazu / bekarazaru). Meaning: must not; should not; do not ~. This is often used for commands on signs to express rules.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary)</td><td>べからず<br/>べからざる</td></tr></tbody></table>",Example #1ここに駐車するべからず。hintromajiEnglishここにちゅうしゃするべからず。koko ni chuusha suru bekarazu.Don't park here. / No parking here.,Example #2芝生に入るべからず。hintromajiEnglishしばふにはいるべからず。shibafu ni hairu bekarazu.Stay off the grass.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b9%e3%81%8b%e3%82%89%e3%81%9a-%e3%81%b9%e3%81%8b%e3%82%89%e3%81%96%e3%82%8b-bekarazu-bekarazaru-meaning/
beku,べく,Learn Japanese grammar: (beku). Meaning: in order to; for the purpose of ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td>べく</td></tr><tr><td>Exception:<br/>する</td><td>するべく<br/>すべく</td></tr></tbody></table>","Example #1JLPT N1に合格すべく、毎日頑張って勉強しています。hintromajiEnglishJLPT N1にごうかくすべく、まいにちがんばってべんきょうしています。JLPT N1 ni goukaku subeku, mainichi ganbatte benkyou shite imasu.I am studying hard every day to pass JLPT N1.","Example #2親の期待に応えるべく、努力して医者の道に進んだ。hintromajiEnglishおやのきたいにこたえるべく、どりょくしていしゃのみちにすすんだ。oya no kitai ni kotaeru beku, doryoku shite isha no michi ni susunda.I made an effort to meet the expectations of my parents and went on to become a doctor.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%b9%e3%81%8f-beku-meaning/
beku mo nai,べくもない,Learn Japanese grammar: (beku mo nai). Meaning: cannot possibly be ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td>べくもない</td></tr><tr><td>Exception:<br/>する</td><td>するべくもない<br/>すべくもない</td></tr></tbody></table>",Example #1彼は勉強をせずに毎日遊んでばかりいた。N１合格は望むべくもない。hintromajiEnglishかれはべんきょうをせずにまいにちあそんでばかりいた。N１ごうかくをのぞむべくもない。kare wa benkyou o sezu ni mainichi asonde bakari ita. N1 goukaku o nozomu beku mo nai.He just played every day without studying. There is no hope of passing N1.,Example #2祖父の病状は悪くなるばかりだ。回復はもう望むべくもない。hintromajiEnglishそふのびょうじょうはわるくなるばかりだ。かいふくはもうのぞむべくもない。sofu no byoujou wa waruku naru bakari da. Kaifuku wa mou nozomubeku mo nai.My grandfather's condition is only getting worse. There is no hope for recovery anymore.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b9%e3%81%8f%e3%82%82%e3%81%aa%e3%81%84-beku-mo-nai-meaning/
